Timestamp,CPU,RAM,Disk,Download(KB/s),Upload(KB/s)
2025-07-24 00:46:22,0.0,55.9,60.5,13421892.9,765883.72
2025-07-24 00:46:27,12.4,56.0,60.5,13421968.14,765887.92
2025-07-24 00:46:32,9.4,56.0,60.5,13422003.99,765933.41
2025-07-24 00:46:37,9.9,56.0,60.5,13422083.99,765955.19
2025-07-24 00:46:42,10.5,55.3,60.5,13422136.27,765960.79
2025-07-24 00:46:47,9.9,55.4,60.5,13422173.73,765977.26
2025-07-24 00:48:33,0.0,55.6,60.5,13423554.54,766552.31
2025-07-24 00:48:38,12.4,55.2,60.5,13423614.31,766575.33
2025-07-24 00:48:43,10.1,55.2,60.5,13423671.3,766579.32
2025-07-24 00:48:48,10.8,54.9,60.5,13423738.09,766686.91
2025-07-24 00:48:53,10.7,55.0,60.5,13423807.62,766702.35
2025-07-24 00:48:58,7.8,55.0,60.5,13423856.92,766710.6
2025-07-24 00:49:03,5.1,55.0,60.5,13423933.0,766714.64
2025-07-24 00:51:24,0.0,57.4,60.5,13431940.21,767965.33
2025-07-24 00:51:50,0.0,57.8,60.5,13432452.26,768142.06
2025-07-24 00:51:55,15.0,57.9,60.5,13432507.22,768176.01
2025-07-24 00:52:00,12.6,57.9,60.5,13432590.07,768200.48
2025-07-24 00:55:03,0.0,56.7,60.5,18.35,1.36
2025-07-24 00:55:08,10.3,56.7,60.5,9.33,11.27
2025-07-24 00:55:13,10.4,56.5,60.5,6.95,3.29
2025-07-24 00:55:18,10.9,56.6,60.5,12.17,1.56
2025-07-24 00:55:23,9.0,56.8,60.5,11.83,8.90
2025-07-24 00:55:28,15.7,56.9,60.5,11.83,4.82
2025-07-24 00:55:33,11.0,56.8,60.5,12.58,4.68
2025-07-24 00:55:38,25.9,58.4,60.5,27.79,5.82
2025-07-24 00:55:43,21.7,59.0,60.5,29.09,3.77
2025-07-24 00:55:48,24.8,57.6,60.5,26.22,1.41
2025-07-24 00:55:53,21.5,57.4,60.5,41.70,1.98
2025-07-24 00:55:58,26.7,57.4,60.5,80.91,6.72
2025-07-24 00:56:03,28.3,57.4,60.5,62.02,2.93
2025-07-24 00:56:08,18.9,59.0,60.5,18.97,1.76
2025-07-24 00:56:13,22.6,60.3,60.5,12.19,8.57
2025-07-24 00:56:18,22.5,60.9,60.5,17.50,2.89
2025-07-24 00:56:23,25.2,60.6,60.5,13.79,36.09
2025-07-24 00:56:33,0.0,59.3,60.5,9.25,2.58
2025-07-24 00:56:43,0.0,58.2,60.5,16.24,3.34
2025-07-24 00:56:48,11.0,58.3,60.5,10.50,0.19
2025-07-24 00:56:53,12.2,58.1,60.5,5.97,0.46
2025-07-24 00:56:58,6.8,58.6,60.5,7.55,0.61
2025-07-24 00:57:03,14.1,59.3,60.5,27.17,12.36
2025-07-24 00:57:08,11.0,59.7,60.5,17.37,34.12
2025-07-24 00:57:13,14.5,59.7,60.5,13.86,1.15
2025-07-24 00:57:18,8.8,59.7,60.5,12.82,22.79
2025-07-24 00:57:23,6.2,59.7,60.5,15.89,2.99
2025-07-24 00:57:28,15.8,59.7,60.5,16.28,10.12
2025-07-24 00:57:33,19.2,59.9,60.5,13.93,2.98
2025-07-24 00:57:38,20.6,59.3,60.5,13.73,3.40
2025-07-24 00:57:43,22.3,60.5,60.5,26.75,17.25
2025-07-24 00:57:48,13.0,60.3,60.5,22.44,5.05
2025-07-24 00:57:53,12.1,59.8,60.5,33.09,4.97
2025-07-24 00:57:58,13.5,59.7,60.5,35.48,5.76
2025-07-24 00:58:03,33.1,60.6,60.5,68.97,9.89
2025-07-24 00:58:08,33.9,60.5,60.5,77.08,6.05
2025-07-24 00:58:13,21.4,60.1,60.5,32.48,2.67
2025-07-24 00:58:18,29.2,59.3,60.5,13.50,6.55
2025-07-24 00:58:23,25.5,59.1,60.5,10.97,1.81
2025-07-24 00:58:28,23.3,59.2,60.5,6.98,0.35
2025-07-24 00:58:33,32.7,59.3,60.5,8.04,26.69
2025-07-24 00:58:38,18.2,58.8,60.5,10.16,5.72
2025-07-24 00:58:43,16.6,58.9,60.5,9.83,4.56
2025-07-24 00:58:48,14.0,58.6,60.5,28.49,3.43
2025-07-24 00:58:56,0.0,58.7,60.5,8.61,6.09
2025-07-24 00:59:01,8.3,58.5,60.5,10.55,4.78
2025-07-24 01:02:47,0.0,58.7,60.5,10.41,1.97
2025-07-24 01:02:56,0.0,58.7,60.5,36.99,1.59
2025-07-24 01:03:01,10.6,58.7,60.5,8.98,0.59
2025-07-24 01:03:06,9.7,58.7,60.5,5.23,0.22
2025-07-24 01:03:31,0.0,58.4,60.5,7.79,1.38
2025-07-24 01:03:36,13.0,59.0,60.5,22.56,13.38
2025-07-24 01:03:41,11.2,58.3,60.5,13.23,2.56
2025-07-24 01:03:46,14.7,59.3,60.5,10.73,31.81
2025-07-24 01:03:51,9.6,59.2,60.5,10.12,3.91
2025-07-24 01:03:56,6.1,59.0,60.5,11.75,3.46
2025-07-24 01:04:01,10.5,59.2,60.5,7.05,1.92
2025-07-24 01:04:06,10.7,59.1,60.5,16.89,23.12
2025-07-24 01:04:11,7.4,59.0,60.5,20.27,2.43
2025-07-24 01:04:16,12.6,57.9,60.5,5.81,0.15
2025-07-24 01:04:21,10.4,58.2,60.5,14.40,3.16
2025-07-24 01:04:26,11.2,58.5,60.5,28.11,20.41
2025-07-24 01:04:31,7.0,58.5,60.5,15.81,4.01
2025-07-24 01:04:36,6.5,58.3,60.5,11.86,1.22
2025-07-24 01:04:41,10.5,58.4,60.5,13.95,10.43
2025-07-24 01:04:46,20.2,59.3,60.5,16.17,9.75
2025-07-24 01:04:51,16.2,59.5,60.5,9.36,2.55
2025-07-24 01:04:56,14.8,59.4,60.5,5.35,6.28
2025-07-24 01:05:01,18.8,59.8,60.5,28.82,7.45
2025-07-24 01:05:06,25.9,60.0,60.5,28.59,7.10
2025-07-24 01:06:15,0.0,59.5,60.5,5.58,1.40
2025-07-24 01:06:20,9.8,59.7,60.5,4.76,4.88
2025-07-24 01:06:29,0.0,59.5,60.5,14.23,22.91
2025-07-24 01:06:34,10.6,59.6,60.5,7.76,1.23
2025-07-24 01:06:39,8.4,59.1,60.5,14.93,5.18
2025-07-24 01:06:44,10.2,58.9,60.5,3.38,0.08
2025-07-24 01:06:49,12.2,59.0,60.5,10.37,1.75
2025-07-24 01:06:54,7.4,58.9,60.5,14.34,11.88
2025-07-24 01:06:59,5.5,59.0,60.5,8.66,0.95
2025-07-24 01:07:04,5.5,58.9,60.5,6.53,1.02
2025-07-24 01:07:09,9.3,59.6,60.5,10.45,15.65
2025-07-24 01:07:14,14.0,59.7,60.5,18.92,38.97
2025-07-24 01:07:19,18.5,59.7,60.5,7.55,5.60
2025-07-24 01:07:24,16.9,59.6,60.5,16.25,2.50
2025-07-24 01:07:29,25.2,60.0,60.5,24.63,8.34
2025-07-24 01:07:34,15.6,60.2,60.5,21.93,7.63
2025-07-24 01:07:39,25.1,60.3,60.5,658.36,29.93
2025-07-24 01:07:44,13.0,60.2,60.5,412.84,13.72
2025-07-24 01:07:49,6.1,59.9,60.5,5.79,3.12
2025-07-24 01:07:54,9.6,59.9,60.5,8.18,2.87
2025-07-24 01:07:59,10.0,59.9,60.5,6.04,2.56
2025-07-24 01:08:04,12.0,59.9,60.5,4.27,0.23
2025-07-24 01:08:09,11.9,59.9,60.5,10.36,2.57
2025-07-24 01:08:14,7.3,59.9,60.5,7.85,0.19
2025-07-24 01:08:19,11.4,58.9,60.5,6.69,1.58
2025-07-24 01:08:24,8.2,58.9,60.5,6.59,0.22
2025-07-24 01:08:29,11.3,59.5,60.5,3.28,9.20
2025-07-24 01:08:34,5.8,59.4,60.5,16.14,12.89
2025-07-24 01:11:38,0.0,57.8,60.5,9.55,2.96
2025-07-24 01:11:43,10.8,57.7,60.5,6.43,1.52
2025-07-24 01:11:48,8.8,57.3,60.5,22.13,12.26
2025-07-24 01:11:53,8.1,56.8,60.5,11.59,4.48
2025-07-24 01:15:26,0.0,58.9,60.5,10.27,2.34
2025-07-24 01:18:28,0.0,57.2,60.5,10.21,1.33
2025-07-24 01:18:33,9.8,57.2,60.5,8.15,0.82
2025-07-24 01:18:38,12.6,56.7,60.5,8.68,11.06
2025-07-24 01:18:43,11.0,56.6,60.5,10.64,2.15
2025-07-24 01:18:48,8.8,56.6,60.5,6.60,0.58
2025-07-24 01:18:53,7.3,56.8,60.5,6.79,1.47
2025-07-24 01:18:58,8.3,56.7,60.5,5.02,0.50
2025-07-24 01:19:03,5.6,56.6,60.5,4.90,0.54
2025-07-24 01:19:08,7.8,57.2,60.5,9.42,31.72
2025-07-24 01:19:13,18.3,57.4,60.5,23.84,13.09
2025-07-24 01:19:18,22.4,57.6,60.5,35.39,5.05
2025-07-24 01:19:23,22.6,57.3,60.5,14.07,2.75
2025-07-24 01:19:28,22.6,57.3,60.5,29.89,1.81
2025-07-24 01:19:33,25.8,57.4,60.5,36.61,0.84
2025-07-24 01:19:39,29.2,57.0,60.5,65.93,2.94
2025-07-24 01:19:44,31.1,57.1,60.5,82.03,4.35
2025-07-24 01:19:49,33.3,57.2,60.5,75.65,3.05
2025-07-24 01:19:54,23.1,57.2,60.5,67.81,2.41
2025-07-24 01:19:59,6.9,57.2,60.5,7.99,1.04
2025-07-24 01:20:04,14.1,57.3,60.5,4.98,1.55
2025-07-24 01:20:09,16.9,57.9,60.5,6.72,35.13
2025-07-24 01:20:14,11.2,57.8,60.5,9.62,9.77
2025-07-24 01:20:24,0.0,57.6,60.5,8.46,9.73
2025-07-24 01:20:50,0.0,57.2,60.5,10.94,4.26
2025-07-24 01:20:55,11.2,57.1,60.5,9.63,3.03
2025-07-24 01:21:00,13.6,57.3,60.5,9.58,3.34
2025-07-24 01:21:05,24.3,57.4,60.5,21.20,2.44
2025-07-24 01:21:10,15.6,57.9,60.5,9.71,34.37
2025-07-24 01:21:15,4.7,57.8,60.5,6.40,0.93
2025-07-24 01:21:20,10.1,58.1,60.5,33.24,5.21
2025-07-24 01:21:25,11.4,58.0,60.5,32.89,2.56
2025-07-24 01:21:30,3.2,57.9,60.5,6.75,0.22
2025-07-24 01:21:35,11.4,57.8,60.5,7.97,2.48
2025-07-24 01:21:40,11.3,57.6,60.5,13.44,3.16
2025-07-24 01:21:45,8.4,57.2,60.5,6.41,0.91
2025-07-24 01:21:50,4.2,57.3,60.5,13.41,1.30
2025-07-24 01:21:55,5.1,56.9,60.5,37.42,1.04
2025-07-24 01:22:00,5.7,57.3,60.5,6.01,0.61
2025-07-24 01:22:05,9.1,57.2,60.5,5.34,1.63
2025-07-24 01:22:10,14.8,57.8,60.5,18.84,43.23
2025-07-24 01:22:15,22.1,57.8,60.5,20.58,2.95
2025-07-24 01:22:20,21.2,57.6,60.5,30.34,1.56
2025-07-24 01:22:25,28.1,58.5,60.5,38.37,3.88
2025-07-24 01:22:30,15.5,58.5,60.5,49.57,4.59
2025-07-24 01:22:35,13.7,58.5,60.5,289.87,13.06
2025-07-24 01:22:40,21.3,58.5,60.5,62.03,10.01
2025-07-24 01:22:45,12.9,58.3,60.5,15.61,2.63
2025-07-24 01:22:50,11.2,58.1,60.5,12.82,9.31
2025-07-24 01:22:55,15.4,57.8,60.5,9.86,4.22
2025-07-24 01:23:03,0.0,57.7,60.5,7.88,1.76
2025-07-24 01:23:08,4.7,57.6,60.5,7.51,10.35
2025-07-24 01:23:13,13.7,57.5,60.5,7.16,1.57
2025-07-24 01:23:18,9.4,57.3,60.5,8.39,4.00
2025-07-24 01:23:23,11.5,57.4,60.5,4.38,2.64
2025-07-24 01:23:28,13.0,57.6,60.5,11.74,8.00
2025-07-24 01:23:33,9.2,57.8,60.5,7.00,0.53
2025-07-24 01:23:38,11.5,57.4,60.5,15.21,1.22
2025-07-24 01:23:43,8.9,57.9,60.5,10.64,1.46
2025-07-24 01:23:48,9.3,57.9,60.5,6.25,0.58
2025-07-24 01:23:53,12.9,57.9,60.5,51.64,1.87
2025-07-24 01:23:58,11.1,57.9,60.5,7.30,4.90
2025-07-24 01:24:03,5.0,57.5,60.5,4.78,0.50
2025-07-24 01:24:08,5.6,57.5,60.5,23.05,1.93
2025-07-24 01:24:13,6.0,57.5,60.5,20.28,1.54
2025-07-24 01:24:18,21.9,57.7,60.5,26.40,15.00
2025-07-24 01:24:23,24.6,58.3,60.5,26.58,8.08
2025-07-24 01:24:28,16.8,58.7,60.5,631.48,35.02
2025-07-24 01:24:33,14.9,59.1,60.5,252.22,29.85
2025-07-24 01:24:38,15.2,59.3,60.5,963.92,23.28
2025-07-24 01:24:43,23.8,59.0,60.5,817.83,33.97
2025-07-24 01:24:48,10.2,59.1,60.5,8.39,1.83
2025-07-24 01:24:53,6.4,58.4,60.5,5.51,4.59
2025-07-24 01:24:58,15.3,58.3,60.5,11.02,6.41
2025-07-24 01:25:03,17.7,58.3,60.5,12.20,5.28
2025-07-24 01:25:08,16.0,58.2,60.5,26.78,12.11
